time_step,node_id,health_score,threshold,status,observed_metrics
79,L4N_27,0.6,0.34973036919067146,Fair,"{'PLR': 0.02, 'CPU': 50.0, 'RTT': 100.0}"
79,L4N_28,0.0,0.0003966067501578608,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_29,0.0,0.09149485066134289,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_30,0.0,6.372080580238175e-05,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_31,0.0,1.313334287022176e-05,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_32,0.0,0.02861833519335257,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_33,0.0,0.017296040684772123,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_34,0.0,0.0003143006984237429,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_35,0.0,0.014924773777373584,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
79,L4N_36,0.0,0.000235774819276987,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
80,CloudDB_Server,0.0,0.008978869927740486,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
80,L1N_01,0.0,0.00019499446804797048,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
80,L2N_01,0.0,4.6777656251350255e-05,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
80,L2N_02,0.0,0.06221520713517821,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
80,L2N_03,0.0,0.001683262110690583,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
80,L2N_04,0.44999999999999996,0.23645836911201362,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 130.0}"
80,L3N_01,0.0,0.20653033427387865,Fair,"{'PLR': 0.02, 'CPU': 30.0, 'RTT': 100.0}"
